"aas_spec;qualifier;category;unit_categ;datatype_categ;metalabel"
"File;OP;;;;1"
"File;;;;;1|2"
"File;SUP;;;;2"
"Property;BUILT;Variable;;DATE;3"
"Property;;Variable;;DATE;29|3"
"Property;CON;Parameter;CHEMISTRY;REAL;4"
"Property;;Parameter;CHEMISTRY;REAL;4|58"
"Property;CON;Parameter;FLOW;REAL;5"
"Property;;Parameter;FLOW;REAL;30|5"
"Property;CON;Parameter;FREQUENCY;REAL;6"
"Property;;Parameter;FREQUENCY;REAL;6|63"
"Property;CON;Parameter;LENGTH;REAL;7"
"Property;;Parameter;LENGTH;REAL;31|7"
"Property;CON;Parameter;POWER;REAL;8"
"Property;;Parameter;POWER;REAL;8|62"
"Property;CON;Parameter;PRESSURE;REAL;9"
"Property;;Parameter;PRESSURE;REAL;32|9"
"Property;CON;Parameter;SCALARS_PERC;REAL;10"
"Property;;Parameter;SCALARS_PERC;REAL;33|10"
"Property;CON;Parameter;SPEED;REAL;11"
"Property;;Parameter;SPEED;REAL;11|59"
"Property;CON;Parameter;TIME;REAL;12"
"Property;;Parameter;TIME;REAL;35|12"
"Property;OP;Variable;ACOUSTICS;REAL;13"
"Property;;Variable;ACOUSTICS;REAL;13"
"Property;OP;Variable;CHEMISTRY;REAL;14"
"Property;;Variable;CHEMISTRY;REAL;14"
"Property;OP;Variable;FLOW;REAL;15"
"Property;;Variable;FLOW;REAL;15"
"Property;OP;Variable;FREQUENCY;REAL;16"
"Property;;Variable;FREQUENCY;REAL;16"
"Property;OP;Variable;LENGTH;REAL;17"
"Property;;Variable;LENGTH;REAL;17"
"Property;OP;Variable;POWER;REAL;18"
"Property;;Variable;POWER;REAL;18"
"Property;OP;Variable;PRESSURE;REAL;19"
"Property;;Variable;PRESSURE;REAL;19"
"Property;OP;Variable;SCALARS_PERC;REAL;20"
"Property;;Variable;SCALARS_PERC;REAL;20"
"Property;OP;Variable;SPEED;REAL;21"
"Property;;Variable;SPEED;REAL;21"
"Property;OP;Variable;TEMPERATURE;REAL;22"
"Property;;Variable;TEMPERATURE;REAL;22"
"Property;OP;Variable;TIME;REAL;23"
"Property;;Variable;TIME;REAL;23"
"Property;OP;Variable;;BOOLEAN;24"
"Property;;Variable;;BOOLEAN;24"
"Property;OP;Variable;;ENUM_CODE;25"
"Property;;Variable;;ENUM_CODE;25"
"Property;OP;Variable;;INT;26"
"Property;;Variable;;INT;26"
"Property;OP;Variable;;REAL;27"
"Property;;Variable;;REAL;27"
"Property;OP;Variable;;STRING;28"
"Property;;Variable;;STRING;28"
"Property;OP;Variable;;DATE;29"
"Property;SPE;Parameter;FLOW;REAL;30"
"Property;SPE;Parameter;LENGTH;REAL;31"
"Property;SPE;Parameter;PRESSURE;REAL;32"
"Property;SPE;Parameter;SCALARS_PERC;REAL;33"
"Property;SPE;Parameter;TEMPERATURE;REAL;34"
"Property;;Parameter;TEMPERATURE;REAL;34"
"Property;SPE;Parameter;TIME;REAL;35"
"Property;SPE;Parameter;;ENUM_CODE;36"
"Property;;Parameter;;ENUM_CODE;36"
"Property;SUP;Constant;ACOUSTICS;REAL;37"
"Property;;Constant;ACOUSTICS;REAL;37"
"Property;SUP;Constant;ELECTRICAL;REAL;38"
"Property;;Constant;ELECTRICAL;REAL;38"
"Property;SUP;Constant;FLOW;REAL;39"
"Property;;Constant;FLOW;REAL;39"
"Property;SUP;Constant;FREQUENCY;REAL;40"
"Property;;Constant;FREQUENCY;REAL;40"
"Property;SUP;Constant;LENGTH;REAL;41"
"Property;;Constant;LENGTH;REAL;41"
"Property;SUP;Constant;MECHANICS;REAL;42"
"Property;;Constant;MECHANICS;REAL;42"
"Property;SUP;Constant;POWER;REAL;43"
"Property;;Constant;POWER;REAL;43"
"Property;SUP;Constant;PRESSURE;REAL;44"
"Property;;Constant;PRESSURE;REAL;44"
"Property;SUP;Constant;SCALARS_PERC;REAL;45"
"Property;;Constant;SCALARS_PERC;REAL;45"
"Property;SUP;Constant;TEMPERATURE;REAL;46"
"Property;;Constant;TEMPERATURE;REAL;46"
"Property;SUP;Constant;TIME;REAL;47"
"Property;;Constant;TIME;REAL;47"
"Property;SUP;Constant;;BOOLEAN;48"
"Property;;Constant;;BOOLEAN;48"
"Property;SUP;Constant;;REAL;49"
"Property;;Constant;;REAL;49"
"Property;SUP;Constant;;STRING;50"
"Property;;Constant;;STRING;50"
"Property;SUP;Constant;;URI;51"
"Property;;Constant;;URI;51"
"Submodel Element Collection;SUP;;;;52"
"Submodel Element Collection;;;;;52"
"Property;OP;Variable;MECHANICS;REAL;53"
"Property;;Variable;MECHANICS;REAL;53"
"Property;OP;Variable;ELECTRICAL;REAL;54"
"Property;;Variable;ELECTRICAL;REAL;54"
"Property;SUP;Constant;SPEED;REAL;55"
"Property;;Constant;SPEED;REAL;55"
"Property;SPE;Parameter;HEAT_TRANSFER;REAL;56"
"Property;;Parameter;HEAT_TRANSFER;REAL;56"
"Property;SUP;Constant;MASS;REAL;57"
"Property;;Constant;MASS;REAL;57"
"Property;SPE;Parameter;CHEMISTRY;REAL;58"
"Property;SUP;Parameter;SPEED;REAL;59"
"Property;SUP;Constant;AREA;REAL;60"
"Property;;Constant;AREA;REAL;60"
"Property;SPE;Parameter;ELECTRICAL;REAL;61"
"Property;;Parameter;ELECTRICAL;REAL;61"
"Property;SPE;Parameter;POWER;REAL;62"
"Property;SPE;Parameter;FREQUENCY;REAL;63"
"Property;SUP;Constant;VOLUME;REAL;65"
"Property;;Constant;VOLUME;REAL;65"
"Property;SPE;Parameter;;REAL;68"
"Property;;Parameter;;REAL;68"
"Property;OP;Variable;HEAT_TRANSFER;REAL;69"
"Property;;Variable;HEAT_TRANSFER;REAL;69"
"Submodel Element Collection;SUP;;;ENUM_CODE;70"
"Submodel Element Collection;;;;ENUM_CODE;70|71"
"Submodel Element Collection;SPE;;;ENUM_CODE;71"
"Submodel Element Collection;SUP;Constant;;ENUM_CODE;72"
"Submodel Element Collection;;Constant;;ENUM_CODE;72"
"Submodel Element Collection;SUP;Constant;;STRING;73"
"Submodel Element Collection;;Constant;;STRING;73"
"Submodel Element Collection;SUP;Constant;HEAT_TRANSFER;REAL;74"
"Submodel Element Collection;;Constant;HEAT_TRANSFER;REAL;74"
"Submodel Element Collection;SUP;;;BOOLEAN;75"
"Submodel Element Collection;;;;BOOLEAN;75"
"Submodel Element Collection;SUP;;;STRING;76"
"Submodel Element Collection;;;;STRING;76"
"File;SUP;;;ENUM_CODE;79"
"File;;;;ENUM_CODE;79"
"Property;SUP;Constant;;INT;81"
"Property;;Constant;;INT;81"
"File;SUP;;;LARGE_OBJECT_TYPE;83"
"File;;;;LARGE_OBJECT_TYPE;83"
